datetime,type,value
2023-12-24 11:00:00+01:00,total,0.0
2023-12-24 12:00:00+01:00,total,0.0
2023-12-25 07:00:00+01:00,total,0.0
2023-12-25 08:00:00+01:00,total,0.0
2023-12-25 09:00:00+01:00,total,0.0
2023-12-25 11:00:00+01:00,total,0.0
2023-12-25 12:00:00+01:00,total,0.0
2023-12-25 13:00:00+01:00,total,0.0
2023-12-25 16:00:00+01:00,total,0.0
2023-12-25 17:00:00+01:00,total,0.0
2023-12-25 18:00:00+01:00,total,0.0
2023-12-25 19:00:00+01:00,total,0.0
2023-12-25 20:00:00+01:00,total,0.0
2023-12-25 21:00:00+01:00,total,0.0
2023-12-25 22:00:00+01:00,total,0.0
2023-12-25 23:00:00+01:00,total,0.0
2023-12-26 07:00:00+01:00,total,0.0
2023-12-26 10:00:00+01:00,total,0.0
2023-12-26 16:00:00+01:00,total,0.0
2023-12-26 18:00:00+01:00,total,153.63
2023-12-26 19:00:00+01:00,total,0.0
2023-12-26 21:00:00+01:00,total,0.0
2023-12-26 22:00:00+01:00,total,0.0
2023-12-26 23:00:00+01:00,total,0.0
2023-12-27 17:00:00+01:00,total,0.0
2023-12-28 11:00:00+01:00,total,0.0
2023-12-28 12:00:00+01:00,total,0.0
2023-12-28 19:00:00+01:00,total,0.0
2023-12-28 21:00:00+01:00,total,0.0
2023-12-29 09:00:00+01:00,total,0.0
2023-12-29 10:00:00+01:00,total,0.0
2023-12-29 14:00:00+01:00,total,0.0
2023-12-29 15:00:00+01:00,total,0.0
2023-12-29 17:00:00+01:00,total,0.0
2023-12-29 18:00:00+01:00,total,0.0
2023-12-29 19:00:00+01:00,total,0.0
2023-12-29 21:00:00+01:00,total,0.0
2023-12-29 22:00:00+01:00,total,0.0
2023-12-29 23:00:00+01:00,total,0.0
2023-12-30 07:00:00+01:00,total,0.0
2023-12-30 08:00:00+01:00,total,0.0
2023-12-30 09:00:00+01:00,total,0.0
2023-12-30 10:00:00+01:00,total,0.0
2023-12-30 11:00:00+01:00,total,0.0
2023-12-30 14:00:00+01:00,total,0.0
2023-12-30 17:00:00+01:00,total,0.0
2023-12-30 18:00:00+01:00,total,0.0
2023-12-30 19:00:00+01:00,total,0.0
2023-12-30 20:00:00+01:00,total,0.0
2023-12-30 21:00:00+01:00,total,0.0
